Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
HUGO,Oklahoma,4015210,CHOCTAW COUNTY,OK ,HUGO
HUGOTON PUBLIC SCHOOLS,Kansas,2007560,STEVENS COUNTY,KS ,HUGOTON PUBLIC SCHOOLS
HULBERT,Oklahoma,4015240,CHEROKEE COUNTY,OK ,HULBERT
HULL,Massachusetts,2506420,PLYMOUTH COUNTY,MA ,HULL
HULL-DAISETTA ISD,Texas,4823880,LIBERTY COUNTY,TX ,HULL-DAISETTA ISD
HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STATES  INC.,Arizona,400108,MARICOPA COUNTY,AZ ,HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STATES  INC.
HUMANSVILLE R-IV,Missouri,2915300,POLK COUNTY,MO ,HUMANSVILLE R-IV
HUMBLE ISD,Texas,4823910,HARRIS COUNTY,TX ,HUMBLE ISD
HUMBOLDT,Tennessee,4701950,GIBSON COUNTY,TN ,HUMBOLDT
HUMBOLDT,Kansas,2007590,ALLEN COUNTY,KS ,HUMBOLDT
HUMBOLDT COMM SCHOOL DISTRICT,Iowa,1914370,HUMBOLDT COUNTY,IA ,HUMBOLDT COMM SCHOOL DISTRICT
HUMBOLDT COUNTY OFFICE OF EDUCATION,California,691009,HUMBOLDT COUNTY,CA ,HUMBOLDT COUNTY OFFICE OF EDUCATION
HUMBOLDT COUNTY ROP,California,600100,HUMBOLDT COUNTY,CA ,HUMBOLDT COUNTY ROP
HUMBOLDT COUNTY SCHOOL DISTRICT,Nevada,3200210,HUMBOLDT COUNTY,NV ,HUMBOLDT COUNTY SCHOOL DISTRICT
HUMBOLDT TABLE ROCK STEINAUER,Nebraska,3100179,RICHARDSON COUNTY,NE ,HUMBOLDT TABLE ROCK STEINAUER
HUMBOLDT UNIFIED DISTRICT,Arizona,403870,YAVAPAI COUNTY,AZ ,HUMBOLDT UNIFIED DISTRICT
HUME R-VIII,Missouri,2915330,BATES COUNTY,MO ,HUME R-VIII
HUMPHREY PUBLIC SCHOOLS,Nebraska,3172150,PLATTE COUNTY,NE ,HUMPHREY PUBLIC SCHOOLS
HUMPHREYS CO SCHOOL DIST,Mississippi,2802040,HUMPHREYS COUNTY,MS ,HUMPHREYS CO SCHOOL DIST
HUMPHREYS COUNTY,Tennessee,4701980,HUMPHREYS COUNTY,TN ,HUMPHREYS COUNTY
HUNT ISD,Texas,4823970,KERR COUNTY,TX ,HUNT ISD
HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,New York,3615060,GREENE COUNTY,NY ,HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT
HUNTERDON CENTRAL REGIONAL HIGH SCHOOL,New Jersey,3407590,HUNTERDON COUNTY,NJ ,HUNTERDON CENTRAL REGIONA
HUNTERDON COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,3480360,HUNTERDON COUNTY,NJ ,HUNTERDON COUNTY EDUCATIO
HUNTERDON COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,3400050,HUNTERDON COUNTY,NJ ,HUNTERDON COUNTY VOCATIONAL
HUNTINGDON,Tennessee,4702010,CARROLL COUNTY,TN ,HUNTINGDON
HUNTINGDON AREA SD,Pennsylvania,4212090,HUNTINGDON COUNTY,PA ,HUNTINGDON AREA SD
HUNTINGDON COUNTY CTC,Pennsylvania,4280250,HUNTINGDON COUNTY,PA ,HUNTINGDON COUNTY CTC
HUNTINGTON BEACH CITY ELEM,California,618030,ORANGE COUNTY,CA ,HUNTINGTON BEACH CITY ELEMENTARY
HUNTINGTON BEACH UNION HIGH,California,618060,ORANGE COUNTY,CA ,HUNTINGTON BEACH UNION HIGH
HUNTINGTON CO COM SCH CORP,Indiana,1804710,HUNTINGTON COUNTY,IN ,HUNTINGTON CO COM SCH CORP
HUNTINGTON ISD,Texas,4824000,ANGELINA COUNTY,TX ,HUNTINGTON ISD
HUNTINGTON LOCAL,Ohio,3904950,ROSS COUNTY,OH ,HUNTINGTON LOCAL
HUNTINGTON SCHOOL DISTRICT,Vermont,5004770,CHITTENDEN COUNTY,VT ,HUNTINGTON SCHOOL DISTRICT
HUNTINGTON SD 16J,Oregon,4106600,BAKER COUNTY,OR ,HUNTINGTON SD 16J
HUNTINGTON UNION FREE SCHOOL DISTRICT,New York,3615090,SUFFOLK COUNTY,NY ,HUNTINGTON UNION FREE SCHOOL DISTRICT
HUNTLEY PROJECT K-12 SCHOOLS,Montana,3014700,YELLOWSTONE COUNTY,MT ,HUNTLEY PROJECT K-12 SCHOOLS
HUNTSVILLE CITY,Alabama,101800,MADISON COUNTY,AL ,HUNTSVILLE CITY
HUNTSVILLE ISD,Texas,4824030,WALKER COUNTY,TX ,HUNTSVILLE ISD
HUNTSVILLE SCHOOL DISTRICT,Arkansas,508130,MADISON COUNTY,AR ,HUNTSVILLE SCHOOL DISTRICT
HURLEY R-I,Missouri,2915390,STONE COUNTY,MO ,HURLEY R-I
HURLEY SCHOOL DISTRICT,Wisconsin,5506750,IRON COUNTY,WI ,HURLEY SCHOOL DISTRICT
HURLEY SCHOOL DISTRICT 60-2,South Dakota,4635400,TURNER COUNTY,SD ,HURLEY SCHOOL DISTRICT 60-2
HURON ACADEMY,Michigan,2600211,MACOMB COUNTY,MI ,HURON ACADEMY
HURON CITY SCHOOLS,Ohio,3904413,ERIE COUNTY,OH ,HURON CITY SCHOOLS
HURON ISD,Michigan,2680500,HURON COUNTY,MI ,HURON ISD
HURON SCHOOL DISTRICT,Michigan,2618930,WAYNE COUNTY,MI ,HURON SCHOOL DISTRICT
HURON SCHOOL DISTRICT 02-2,South Dakota,4635480,BEADLE COUNTY,SD ,HURON SCHOOL DISTRICT 02-2
HURON VALLEY SCHOOLS,Michigan,2618990,OAKLAND COUNTY,MI ,HURON VALLEY SCHOOLS
HURST-EULESS-BEDFORD ISD,Texas,4824060,TARRANT COUNTY,TX ,HURST-EULESS-BEDFORD ISD
HUSTISFORD SCHOOL DISTRICT,Wisconsin,5506780,DODGE COUNTY,WI ,HUSTISFORD SCHOOL DISTRICT
HUTCHINSON PUBLIC SCHOOL DISTRICT,Minnesota,2714970,MCLEOD COUNTY,MN ,HUTCHINSON PUBLIC SCHOOL DISTRICT
HUTCHINSON PUBLIC SCHOOLS,Kansas,2007620,RENO COUNTY,KS ,HUTCHINSON PUBLIC SCHOOLS
HUTSONVILLE CUSD 1,Illinois,1719920,CRAWFORD COUNTY,IL ,HUTSONVILLE CUSD 1
HUTTO ISD,Texas,4824100,WILLIAMSON COUNTY,TX ,HUTTO ISD
HYANNIS AREA SCHOOLS,Nebraska,3172210,GRANT COUNTY,NE ,HYANNIS AREA SCHOOLS
HYDABURG CITY SCHOOL DISTRICT,Alaska,200330,PRINCE OF WALES-HYDER CENSUS AREA,AK ,HYDABURG CITY SCHOOL DISTRICT
HYDE COUNTY SCHOOLS,North Carolina,3702280,HYDE COUNTY,NC ,HYDE COUNTY SCHOOLS
HYDE LEADERSHIP CHARTER SCHOOL,New York,3600165,BRONX COUNTY,NY ,HYDE LEADERSHIP CHARTER SCHOOL
HYDE LEADERSHIP CHARTER SCHOOL-BROOKLYN,New York,3601030,KINGS COUNTY,NY ,HYDE LEADERSHIP CHARTER SCHOOL-BROOKLYN
HYDE PARK CENTRAL SCHOOL DISTRICT,New York,3615180,DUTCHESS COUNTY,NY ,HYDE PARK CENTRAL SCHOOL DISTRICT
HYDE PARK SCHOOL DISTRICT,Vermont,5004800,LAMOILLE COUNTY,VT ,HYDE PARK SCHOOL DISTRICT
HYDER ELEMENTARY DISTRICT,Arizona,403900,YUMA COUNTY,AZ ,HYDER ELEMENTARY DISTRICT
HYDESVILLE ELEM,California,618120,HUMBOLDT COUNTY,CA ,HYDESVILLE ELEMENTARY
HYDRO-EAKLY,Oklahoma,4000032,CADDO COUNTY,OK ,HYDRO-EAKLY
HYSHAM K-12 SCHOOLS,Montana,3014760,TREASURE COUNTY,MT ,HYSHAM K-12 SCHOOLS
IBERIA PARISH,Louisiana,2200720,IBERIA PARISH,LA ,IBERIA PARISH
IBERIA R-V,Missouri,2915420,MILLER COUNTY,MO ,IBERIA R-V
IBERVILLE PARISH,Louisiana,2200750,IBERVILLE PARISH,LA ,IBERVILLE PARISH
ICAHN CHARTER SCHOOL 1,New York,3600049,BRONX COUNTY,NY ,ICAHN CHARTER SCHOOL 1
ICAHN CHARTER SCHOOL 2,New York,3600943,BRONX COUNTY,NY ,ICAHN CHARTER SCHOOL 2
ICAHN CHARTER SCHOOL 3,New York,3600955,BRONX COUNTY,NY ,ICAHN CHARTER SCHOOL 3
ICAHN CHARTER SCHOOL 4,New York,3600995,BRONX COUNTY,NY ,ICAHN CHARTER SCHOOL 4
IDA PUBLIC SCHOOL DISTRICT,Michigan,2619050,MONROE COUNTY,MI ,IDA PUBLIC SCHOOL DISTRICT
IDABEL,Oklahoma,4015370,MCCURTAIN COUNTY,OK ,IDABEL
IDAHO CONNECTS ONLINE SCHOOL,Idaho,1600148,ADA COUNTY,ID ,KAPLAN ACADEMY OF IDAHO
IDAHO DEPT CORRECTION,Idaho,1600017,ADA COUNTY,ID ,IDAHO DEPT JUVENILE CORRECTION
IDAHO DEPT JUVENILE CORRECTION,Idaho,1600016,CANYON COUNTY,ID ,IDAHO DEPT JUVENILE CORRECTION
IDAHO FALLS DISTRICT,Idaho,1601530,BONNEVILLE COUNTY,ID ,IDAHO FALLS DISTRICT
IDAHO SCHOOL FOR THE DEAF AND BLIND,Idaho,1603511,GOODING COUNTY,ID ,IDAHO SCHOOL FOR THE DEAF AND BLIND
IDAHO SCIENCE & TECHNOLOGY CHARTER,Idaho,1600145,BINGHAM COUNTY,ID ,IDAHO SCIENCE & TECHNOLOGY
IDAHO VIRTUAL ACADEMY,Idaho,1600004,ADA COUNTY,ID ,IDAHO VIRTUAL ACADEMY
IDALIA RJ-3 SCHOOL DISTRICT,Colorado,800018,YUMA COUNTY,CO ,IDALIA RJ-3 SCHOOL DISTRICT
IDALOU ISD,Texas,4824120,LUBBOCK COUNTY,TX ,IDALOU ISD
IDEA PUBLIC SCHOOLS,Texas,4800211,HIDALGO COUNTY,TX ,IDEA PUBLIC SCHOOLS
IDEAL ACADEMY PCS,District of Columbia,1100012,DISTRICT OF COLUMBIA,DC ,IDEAL ACADEMY PCS
IDITAROD AREA SCHOOL DISTRICT,Alaska,200520,YUKON-KOYUKUK CENSUS AREA,AK ,IDITAROD AREA SCHOOL DISTRICT
IDJJ SCH DIST 428,Illinois,1700006,SANGAMON COUNTY,IL ,IDJJ SCH DIST 428
IGNACIO SCHOOL DISTRICT NO. 11JT,Colorado,804770,LA PLATA COUNTY,CO ,IGNACIO SCHOOL DISTRICT NO. 11JT
IGNITE PUBLIC SCHOOLS AND COMMUNITY SERVICE CENTER,Texas,4800023,HIDALGO COUNTY,TX ,ONE STOP MULTISERVICE CHARTER SCHOOL
IGO ONO PLATINA UNION ELEM,California,618160,SHASTA COUNTY,CA ,IGO ONO PLATINA UNION ELEMENTARY
IKM-MANNING COMM SCHOOL DISTRICT,Iowa,1914880,CRAWFORD COUNTY,IA ,IKM COMM SCHOOL DISTRICT
IL MATHEMATICS & SCIENCE ACADEMY,Illinois,1700101,KANE COUNTY,IL ,IL MATHEMATICS & SCIENCE ACADEMY
IL VALLEY CENTRAL USD 321,Illinois,1719970,PEORIA COUNTY,IL ,IL VALLEY CENTRAL USD 321
ILION CENTRAL SCHOOL DISTRICT,New York,3615240,HERKIMER COUNTY,NY ,ILION CENTRAL SCHOOL DISTRICT
ILLINI BLUFFS CUSD 327,Illinois,1719960,PEORIA COUNTY,IL ,ILLINI BLUFFS CUSD 327
ILLINI CENTRAL CUSD 189,Illinois,1700113,MASON COUNTY,IL ,ILLINI CENTRAL CUSD 189
ILLINI WEST H S DIST 307,Illinois,1701384,HANCOCK COUNTY,IL ,ILLINI WEST H S DIST 307
ILLINOIS MIGRANT COUNCIL,Illinois,1701398,COOK COUNTY,IL ,ILLINOIS MIGRANT COUNCIL
IMAGINE ACAD. ACADEMIC SUCCESS,Missouri,2900581,ST. LOUIS CITY,MO ,IMAGINE ACAD. ACADEMIC SUCCESS
IMAGINE ACADEMY ES AND MATH,Missouri,2900582,ST. LOUIS CITY,MO ,IMAGINE ACADEMY ES AND MATH
IMAGINE ACADEMY OF CAREERS,Missouri,2900580,ST. LOUIS CITY,MO ,IMAGINE ACADEMY OF CAREERS
IMAGINE AKRON ACADEMY,Ohio,3901377,FRANKLIN COUNTY,OH ,PATHWAY TO SUCCESS AKRON
IMAGINE AVONDALE ELEMENTARY  INC.,Arizona,400780,MARICOPA COUNTY,AZ ,IMAGINE ELEMENTARY AT AVONDALE  LLC
IMAGINE AVONDALE MIDDLE  INC.,Arizona,400802,MARICOPA COUNTY,AZ ,IMAGINE MIDDLE AT AVONDALE  LLC
IMAGINE BRIDGE ACADEMY,Indiana,1800095,ALLEN COUNTY,IN ,IMAGINE BRIDGE ACADEMY
IMAGINE CAMELBACK MIDDLE  INC.,Arizona,400756,MARICOPA COUNTY,AZ ,IMAGINE MIDDLE AT CAMELBACK  LLC
IMAGINE CHARTER ELEMENTARY AT CAMELBACK  INC.,Arizona,400445,MARICOPA COUNTY,AZ ,IMAGINE CHARTER ELEMENTARY AT CAMELBACK  INC.
IMAGINE CHARTER ELEMENTARY AT DESERT WEST  INC.,Arizona,400438,MARICOPA COUNTY,AZ ,IMAGINE CHARTER ELEMENTARY AT DESERT WEST  INC.
IMAGINE COOLIDGE ELEMENTARY  INC.,Arizona,400766,MARICOPA COUNTY,AZ ,IMAGINE ELEMENTARY AT COOLIDGE  LLC
IMAGINE DESERT WEST MIDDLE  INC.,Arizona,400754,MARICOPA COUNTY,AZ ,IMAGINE MIDDLE AT DESERT WEST  LLC
IMAGINE ELEMENTARY AT TEMPE  INC.,Arizona,400446,MARICOPA COUNTY,AZ ,IMAGINE ELEMENTARY AT TEMPE  INC.
IMAGINE LIFE SCIENCES ACAD - EAST,Indiana,1800076,MARION COUNTY,IN ,IMAGINE LIFE SCIENCES ACAD - EAST
IMAGINE LIFE SCIENCES ACAD - WEST,Indiana,1800084,MARION COUNTY,IN ,IMAGINE LIFE SCIENCES ACAD - WEST
IMAGINE MASTER ACADEMY,Indiana,1800066,ALLEN COUNTY,IN ,IMAGINE MASTER ACADEMY
IMAGINE MASTER ON BROADWAY,Indiana,1800073,ALLEN COUNTY,IN ,IMAGINE MASTER ON BROADWAY
IMAGINE ME LEADERSHIP CHARTER SCHOOL,New York,3601031,KINGS COUNTY,NY ,IMAGINE ME LEADERSHIP CHARTER SCHOOL
IMAGINE MIDDLE AT EAST MESA  INC.,Arizona,400442,MARICOPA COUNTY,AZ ,IMAGINE MIDDLE AT EAST MESA  INC.
IMAGINE MIDDLE AT SURPRISE  INC.,Arizona,400441,MARICOPA COUNTY,AZ ,IMAGINE MIDDLE AT SURPRISE  INC.
IMAGINE ON SUPERIOR,Ohio,3901419,FRANKLIN COUNTY,OH ,PATHWAY TO SUCCESS CANTON
IMAGINE PREP COOLIDGE  INC.,Arizona,400769,MARICOPA COUNTY,AZ ,IMAGINE MIDDLE AT COOLIDGE  LLC
IMAGINE PREP SUPERSTITION  INC.,Arizona,400783,MARICOPA COUNTY,AZ ,IMAGINE PREPARATORY AT SUPERSTITION  LLC
IMAGINE PREP SURPRISE  INC.,Arizona,400770,MARICOPA COUNTY,AZ ,IMAGINE PREPARATORY HIGH SCHOOL AT SURPRISE  LLC
IMAGINE SOUTHEAST PCS,District of Columbia,1100074,DISTRICT OF COLUMBIA,DC ,IMAGINE SOUTHEAST PCS
IMAGINE SUPERSTITION MIDDLE  INC.,Arizona,400810,MARICOPA COUNTY,AZ ,IMAGINE MIDDLE AT SUPERSTITION  LLC
IMANI EDUCATION CIRCLE CS,Pennsylvania,4200054,PHILADELPHIA COUNTY,PA ,IMANI EDUCATION CIRCLE CS
IMANI LEARNING ACADEMY,Ohio,3900595,LUCAS COUNTY,OH ,IMANI LEARNING ACADEMY
IMBLER SD 11,Oregon,4106630,UNION COUNTY,OR ,IMBLER SD 11
IMBODEN CHARTER SCHOOL DISTRICT,Arkansas,500061,LAWRENCE COUNTY,AR ,IMBODEN CHARTER SCHOOL DISTRICT
IMHOTEP INSTITUTE CHS,Pennsylvania,4200038,PHILADELPHIA COUNTY,PA ,IMHOTEP INSTITUTE CHS
IMLAY CITY COMMUNITY SCHOOLS,Michigan,2619100,LAPEER COUNTY,MI ,IMLAY CITY COMMUNITY SCHOOLS
IMPERIAL COUNTY OFFICE OF EDUCATION,California,691010,IMPERIAL COUNTY,CA ,IMPERIAL COUNTY OFFICE OF EDUCATION
IMPERIAL UNF,California,618210,IMPERIAL COUNTY,CA ,IMPERIAL UNIFIED
IMPERIAL VALLEY ROP,California,600101,IMPERIAL COUNTY,CA ,IMPERIAL VALLEY ROP
IMPERIAL VALLEY ROP JPA,California,601405,IMPERIAL COUNTY,CA ,IMPERIAL VALLEY ROP JPA
IN ACAD FOR SCI MATH HUMANITIES,Indiana,1800041,DELAWARE COUNTY,IN ,IN ACAD FOR SCI MATH HUMANITIES
IN CONNECTIONS ACAD VIRTUAL PILOT,Indiana,1800098,HAMILTON COUNTY,IN ,IN CONNECTIONS ACAD VIRTUAL PILOT
IN DEPARTMENT OF CORRECTION,Indiana,1800006,MARION COUNTY,IN ,IN DEPARTMENT OF CORRECTION
IN SCH FOR THE BLIND & VIS IMPRD,Indiana,1800023,MARION COUNTY,IN ,IN SCH FOR THE BLIND & VIS IMPRD
IN STATE DEPARTMENT OF HEALTH,Indiana,1800005,MARION COUNTY,IN ,IN STATE DEPARTMENT OF HEALTH
INA CCSD 8,Illinois,1720010,JEFFERSON COUNTY,IL ,INA CCSD 8
INCHELIUM SCHOOL DISTRICT,Washington,5300002,FERRY COUNTY,WA ,INCHELIUM SCHOOL DISTRICT
INDEPENDENCE,Kansas,2007650,MONTGOMERY COUNTY,KS ,INDEPENDENCE
INDEPENDENCE 30,Missouri,2915480,JACKSON COUNTY,MO ,INDEPENDENCE 30
INDEPENDENCE COMM SCHOOL DISTRICT,Iowa,1914580,BUCHANAN COUNTY,IA ,INDEPENDENCE COMM SCHOOL DISTRICT
INDEPENDENCE CS,Pennsylvania,4200087,PHILADELPHIA COUNTY,PA ,INDEPENDENCE CS
INDEPENDENCE LOCAL,Ohio,3904656,CUYAHOGA COUNTY,OH ,INDEPENDENCE LOCAL
INDEPENDENCE SCHOOL DISTRICT,Wisconsin,5506810,TREMPEALEAU COUNTY,WI ,INDEPENDENCE SCHOOL DISTRICT
INDEPENDENT ELEM,Montana,3014820,YELLOWSTONE COUNTY,MT ,INDEPENDENT ELEM
INDEX ELEMENTARY SCHOOL DISTRICT 63,Washington,5303720,SNOHOMISH COUNTY,WA ,INDEX SCHOOL DISTRICT
INDIAHOMA,Oklahoma,4015420,COMANCHE COUNTY,OK ,INDIAHOMA
INDIAN CAPITAL TECHNOLOGY CTR,Oklahoma,4000089,MUSKOGEE COUNTY,OK ,INDIAN CAPITAL TECHNOLOGY CTR
INDIAN CAPITAL TECHNOLOGY CTR,Oklahoma,4000077,MUSKOGEE COUNTY,OK ,INDIAN CAPITAL TECHNOLOGY CTR
INDIAN CAPITAL TECHNOLOGY CTR,Oklahoma,4000054,CHEROKEE COUNTY,OK ,INDIAN CAPITAL TECHNOLOGY CTR
INDIAN CAPITAL TECHNOLOGY CTR,Oklahoma,4000047,MUSKOGEE COUNTY,OK ,INDIAN CAPITAL TECHNOLOGY CTR
INDIAN CREEK CUSD 425,Illinois,1735970,DEKALB COUNTY,IL ,INDIAN CREEK CUSD 425
INDIAN CREEK LOCAL,Ohio,3904780,JEFFERSON COUNTY,OH ,INDIAN CREEK LOCAL
INDIAN DIGGINGS ELEM,California,618240,EL DORADO COUNTY,CA ,INDIAN DIGGINGS ELEMENTARY
INDIAN HILL EXEMPTED VILLAGE,Ohio,3904543,HAMILTON COUNTY,OH ,INDIAN HILL EXEMPTED VILLAGE
INDIAN ISLAND,Maine,2300066,WASHINGTON COUNTY,ME ,INDIAN ISLAND
INDIAN LAKE CENTRAL SCHOOL DISTRICT,New York,3615270,HAMILTON COUNTY,NY ,INDIAN LAKE CENTRAL SCHOOL DISTRICT
INDIAN LAKE LOCAL,Ohio,3904808,LOGAN COUNTY,OH ,INDIAN LAKE LOCAL
INDIAN PRAIRIE CUSD 204,Illinois,1741690,DUPAGE COUNTY,IL ,INDIAN PRAIRIE CUSD 204
INDIAN RIVER,Florida,1200930,INDIAN RIVER COUNTY,FL ,INDIAN RIVER
INDIAN RIVER CENTRAL SCHOOL DISTRICT,New York,3615300,JEFFERSON COUNTY,NY ,INDIAN RIVER CENTRAL SCHOOL DISTRICT
INDIAN RIVER SCHOOL DISTRICT,Delaware,1000680,SUSSEX COUNTY,DE ,INDIAN RIVER SCHOOL DISTRICT
INDIAN SPRINGS ELEM,California,618270,SHASTA COUNTY,CA ,INDIAN SPRINGS ELEMENTARY
INDIAN SPRINGS SD 109,Illinois,1707170,COOK COUNTY,IL ,INDIAN SPRINGS SD 109
INDIAN TOWNSHIP,Maine,2300064,WASHINGTON COUNTY,ME ,INDIAN TOWNSHIP
INDIAN VALLEY AREA VOC CTR,Illinois,1700259,DEKALB COUNTY,IL ,INDIAN VALLEY AREA VOC CTR
INDIAN VALLEY LOCAL SCHOOLS,Ohio,3905028,TUSCARAWAS COUNTY,OH ,INDIAN VALLEY LOCAL SCHOOLS
INDIANA AEROSPACE,Indiana,1800091,MARION COUNTY,IN ,INDIANA AEROSPACE
INDIANA AREA SD,Pennsylvania,4212150,INDIANA COUNTY,PA ,INDIANA AREA SD
INDIANA COUNTY TECHNOLOGY CENTER,Pennsylvania,4280660,INDIANA COUNTY,PA ,INDIANA COUNTY TECHNOLOGY CENTER
INDIANA MATH AND SCIENCE ACADEMY,Indiana,1800067,MARION COUNTY,IN ,INDIANA MATH AND SCIENCE ACADEMY
INDIANA MATH SCIENCE ACADEMY NORTH,Indiana,1800094,MARION COUNTY,IN ,INDIANA MATH SCIENCE ACADEMY NORTH
INDIANA SCHOOL FOR THE DEAF,Indiana,1800024,MARION COUNTY,IN ,INDIANA SCHOOL FOR THE DEAF
INDIANAPOLIS METROPOLITAN HIGH SCH,Indiana,1800064,MARION COUNTY,IN ,INDIANAPOLIS METROPOLITAN HIGH SCH
INDIANAPOLIS PUBLIC SCHOOLS,Indiana,1804770,MARION COUNTY,IN ,INDIANAPOLIS PUBLIC SCHOOLS
INDIANOLA,Oklahoma,4015450,PITTSBURG COUNTY,OK ,INDIANOLA
INDIANOLA COMM SCHOOL DISTRICT,Iowa,1914640,WARREN COUNTY,IA ,INDIANOLA COMM SCHOOL DISTRICT
INDIANOLA SCHOOL DIST,Mississippi,2802070,SUNFLOWER COUNTY,MS ,INDIANOLA SCHOOL DIST
INDPLS LIGHTHOUSE CHARTER SCHOOL,Indiana,1800051,MARION COUNTY,IN ,INDPLS LIGHTHOUSE CHARTER SCHOOL
INDUSTRIAL ISD,Texas,4824150,JACKSON COUNTY,TX ,INDUSTRIAL ISD
INDUSTRIAL TECHNOLOGY ACADEMY,Michigan,2600329,ST. CLAIR COUNTY,MI ,INDUSTRIAL TECHNOLOGY ACADEMY
INFINITY CS,Pennsylvania,4200118,DAUPHIN COUNTY,PA ,INFINITY CS
INFINITY:MINNESOTA  DIGITAL ACADEMY,Minnesota,2700312,ITASCA COUNTY,MN ,INFINITY:MINNESOTA  DIGITAL ACADEMY
INFORMATION TECHNOLOGY ACADEMY OF ST. CLAIR,Michigan,2600326,ST. CLAIR COUNTY,MI ,INFORMATION TECHNOLOGY ACADEMY OF ST. CLAIR
INGALLS,Kansas,2007680,GRAY COUNTY,KS ,INGALLS
INGHAM ISD,Michigan,2680520,INGHAM COUNTY,MI ,INGHAM ISD
INGLESIDE ISD,Texas,4824180,SAN PATRICIO COUNTY,TX ,INGLESIDE ISD
INGLEWOOD UNF,California,618390,LOS ANGELES COUNTY,CA ,INGLEWOOD UNIFIED
INGRAM ISD,Texas,4824210,KERR COUNTY,TX ,INGRAM ISD
INLAND LAKES SCHOOLS,Michigan,2619170,CHEBOYGAN COUNTY,MI ,INLAND LAKES SCHOOLS
INLET COMMON SCHOOL DISTRICT,New York,3615330,HAMILTON COUNTY,NY ,INLET COMMON SCHOOL DISTRICT
INMAN,Kansas,2007710,MCPHERSON COUNTY,KS ,INMAN
INNOVATION ACADEMY CHARTER (DISTRICT),Massachusetts,2500025,MIDDLESEX COUNTY,MA ,INNOVATION ACADEMY CHARTER (DISTRICT)
INOLA,Oklahoma,4015480,ROGERS COUNTY,OK ,INOLA
INSPIRE VIRTUAL CHARTER,Idaho,1600011,ADA COUNTY,ID ,INSPIRE VIRTUAL CHARTER
INSPIRED TEACHING DEMONSTRATION PCS,District of Columbia,1100080,дус,DC ,INSPIRED TEACHING DEMONSTRATION PCS
INSPIRED VISION ACADEMY,Texas,4800204,DALLAS COUNTY,TX ,INSPIRED VISION ACADEMY
INSTITUTIONAL EDUCATIONAL PROGRAMS,West Virginia,5400511,KANAWHA COUNTY,WV ,INSTITUTIONAL EDUCATIONAL PROGRAMS
INSTITUTIONAL SCHOOLS,Massachusetts,2511150,MIDDLESEX COUNTY,MA ,INSTITUTIONAL SCHOOLS
INTECH COLLEGIATE HIGH SCHOOL,Utah,4900039,CACHE COUNTY,UT ,INTECH COLLEGIATE HIGH SCHOOL
INTEGRATED DAY CHARTER SCHOOL,Connecticut,900010,NEW LONDON COUNTY,CT ,INTEGRATED DAY CHARTER SCHOOL
INTEGRATED DESIGN ELECTRONICS ACADEMY IDEA,District of Columbia,1100013,DISTRICT OF COLUMBIA,DC ,INTEGRATED DESIGN ELECTRONICS ACADEMY (IDEA)
INTEGRITY ACADEMY,Ohio,3901423,FRANKLIN COUNTY,OH ,INTEGRITY ACADEMY
INTEGRITY EDUCATION INCORPORATED,Arizona,400650,MARICOPA COUNTY,AZ ,INTEGRITY EDUCATION INCORPORATED
INTELLI-SCHOOL  INC.,Arizona,400061,MARICOPA COUNTY,AZ ,INTELLI-SCHOOL  INC.
INTER-LAKES COOPERATIVE SAU OFFICE,New Hampshire,3399902,BELKNAP COUNTY,NH ,INTER-LAKES COOPERATIVE SAU OFFICE
INTER-LAKES SCHOOL DISTRICT,New Hampshire,3303960,BELKNAP COUNTY,NH ,INTER-LAKES SCHOOL DISTRICT
INTERACTIVE MEDIA & CONSTRUCTION (IMAC),Ohio,3900478,RICHLAND COUNTY,OH ,INTERACTIVE MEDIA & CONSTRUCTION (IMAC)
INTERBORO SD,Pennsylvania,4212170,DELAWARE COUNTY,PA ,INTERBORO SD
INTERGENERATIONAL SCHOOL THE,Ohio,3900065,CUYAHOGA COUNTY,OH ,INTERGENERATIONAL SCHOOL THE
INTERLAKEN,New Jersey,3407650,MONMOUTH COUNTY,NJ ,INTERLAKEN BOROUGH
INTERMEDIATE SCHOOL DISTRICT 287,Minnesota,2700025,HENNEPIN COUNTY,MN ,INTERMEDIATE SCHOOL DISTRICT 287
INTERMEDIATE SCHOOL DISTRICT 917,Minnesota,2700026,DAKOTA COUNTY,MN ,INTERMEDIATE SCHOOL DISTRICT 917
INTERMEDIATE SERVICE CENTER 3,Illinois,1700256,COOK COUNTY,IL ,INTERMEDIATE SERVICE CENTER 3
INTERMEDIATE UNIT 1,Pennsylvania,4289110,WASHINGTON COUNTY,PA ,INTERMEDIATE UNIT 1
INTERMOUNTAIN ESD,Oregon,4100036,UMATILLA COUNTY,OR ,UMATILLA-MORROW ESD
INTERMTN CHILDRENS HOME,Montana,3000104,LEWIS AND CLARK COUNTY,MT ,INTERMTN CHILDRENS HOME
