Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
ACADEMY OF TRADES AND TECH,New Mexico,3500129,BERNALILLO COUNTY,NM ,ACADEMY OF TRADES AND TECH
ACADEMY OF TUCSON  INC.,Arizona,400202,PIMA COUNTY,AZ ,ACADEMY OF TUCSON  INC.
ACADEMY OF WARREN,Michigan,2600308,MACOMB COUNTY,MI ,ACADEMY OF WARREN
ACADEMY OF WATERFORD,Michigan,2600290,OAKLAND COUNTY,MI ,ACADEMY OF WATERFORD
ACADEMY OF WESTLAND,Michigan,2600133,WAYNE COUNTY,MI ,ACADEMY OF WESTLAND
ACADEMY WITH COMMUNITY PARTNERS  INC,Arizona,400276,MARICOPA COUNTY,AZ ,ACADEMY WITH COMMUNITY PARTNERS  INC
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,801920,EL PASO COUNTY,CO ,ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN
ACADIA PARISH,Louisiana,2200030,ACADIA PARISH,LA ,ACADIA PARISH
ACALANES UNION HIGH,California,601650,CONTRA COSTA COUNTY,CA ,ACALANES UNION HIGH
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS,Arizona,400129,PIMA COUNTY,AZ ,ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS
ACCELERATED INTERMEDIATE ACADEMY,Texas,4800192,HARRIS COUNTY,TX ,ACCELERATED INTERMEDIATE ACADEMY
ACCELERATED LEARNING CENTER  INC.,Arizona,400121,MARICOPA COUNTY,AZ ,ACCELERATED LEARNING CENTER  INC.
ACCELERATED LEARNING CHARTER SCHOOL  INC.,Arizona,400338,YAVAPAI COUNTY,AZ ,ACCELERATED LEARNING CHARTER SCHOOL  INC.
ACCLAIM CHARTER SCHOOL,Arizona,400122,MARICOPA COUNTY,AZ ,ACCLAIM CHARTER SCHOOL
ACCOMACK CO PBLC SCHS,Virginia,5100060,ACCOMACK COUNTY,VA ,ACCOMACK CO PBLC SCHS
ACE ACADEMY (SDA),Michigan,2600943,WAYNE COUNTY,MI ,ACE ACADEMY (SDA)
ACE LEADERSHIP HIGH SCHOOL,New Mexico,3500128,BERNALILLO COUNTY,NM ,ACE LEADERSHIP HIGH SCHOOL
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,3901362,LUCAS COUNTY,OH ,ACHIEVE CAREER PREPARATORY ACADEMY
ACHIEVE CHARTER ACADEMY,Michigan,2600963,WAYNE COUNTY,MI ,ACHIEVE CHARTER ACADEMY
ACHIEVE LANGUAGE ACADEMY,Minnesota,2700118,RAMSEY COUNTY,MN ,ACHIEVE LANGUAGE ACADEMY
ACHIEVEMENT ACADEMY CHARTER SCHOOL,New York,3600129,ALBANY COUNTY,NY ,ACHIEVEMENT ACADEMY CHARTER SCHOOL
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,3601028,KINGS COUNTY,NY ,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,3600969,KINGS COUNTY,NY ,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,New York,3600166,KINGS COUNTY,NY ,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,3600147,KINGS COUNTY,NY ,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,3600149,KINGS COUNTY,NY ,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,3600170,KINGS COUNTY,NY ,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL
ACHIEVEMENT FIRST HARTFORD AC,Connecticut,900212,HARTFORD COUNTY,CT ,ACHIEVEMENT FIRST HARTFORD AC
ACHIEVEMENT HOUSE CS,Pennsylvania,4200128,CHESTER COUNTY,PA ,ACHIEVEMENT HOUSE CS
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,1100072,DISTRICT OF COLUMBIA,DC ,ACHIEVEMENT PREPARATORY ACADEMY PCS
ACHILLE,Oklahoma,4002370,BRYAN COUNTY,OK ,ACHILLE
ACKERMAN CHARTER,California,601680,PLACER COUNTY,CA ,ACKERMAN ELEMENTARY
ACORN MONTESSORI CHARTER SCHOOL,Arizona,400320,YAVAPAI COUNTY,AZ ,ACORN MONTESSORI CHARTER SCHOOL
ACTON,Massachusetts,2501680,MIDDLESEX COUNTY,MA ,ACTON
ACTON SCHOOL DEPARTMENT,Maine,2302220,YORK COUNTY,ME ,ACTON SCHOOL DEPARTMENT
ACTON-AGUA DULCE UNF,California,600001,LOS ANGELES COUNTY,CA ,ACTON-AGUA DULCE UNIFIED
ACTON-BOXBOROUGH,Massachusetts,2501710,MIDDLESEX COUNTY,MA ,ACTON-BOXBOROUGH
ACUSHNET,Massachusetts,2501740,BRISTOL COUNTY,MA ,ACUSHNET
AD PRIMA CS,Pennsylvania,4200129,PHILADELPHIA COUNTY,PA ,AD PRIMA CS
ADA,Oklahoma,4002430,PONTOTOC COUNTY,OK ,ADA
